id,name,city,state,country,latitude,longitude,failure_reasons,failed_at
94249,West Point Grey Academy,VANCOUVER,BRITISH COLUMBIA,CANADA,,,missing_coordinates,coordination_check
96339,Keystone School,TORONTO,ONTARIO,CANADA,,,missing_coordinates,coordination_check
96602,Dewey Institute,BRACEBRIDGE,ONTARIO,CANADA,,,missing_coordinates,coordination_check
97863,Selwyn House School,WESTMOUNT,QUEBEC,CANADA,,,missing_coordinates,coordination_check
96545,CANADA INTL COLLEGE,MARKHAM,ONTARIO,CANADA,,,missing_coordinates,coordination_check
96419,Unionville International Academy,NORTH YORK,ONTARIO,CANADA,,,missing_coordinates,coordination_check
96867,Toronto STEM School,TORONTO,ONTARIO,CANADA,,,missing_coordinates,coordination_check
96547,MCCANNY SECONDARY SCH,TORONTO,ONTARIO,CANADA,,,missing_coordinates,coordination_check
62452,Brooklyn College,NORTH YORK,ONTARIO,CANADA,,,missing_coordinates,coordination_check
96415,QUEEN'S GROVE SCHOOL,TORONTO,ONTARIO,CANADA,,,missing_coordinates,coordination_check
94437,JOHNATHAN ACADEMY,VANCOUVER,BRITISH COLUMBIA,CANADA,,,missing_coordinates,coordination_check
94359,KAMLOOPS CHRISTIAN SCHOOL,KAMLOOPS,BRITISH COLUMBIA,CANADA,,,missing_coordinates,coordination_check
96538,WALES COLLEGE,TORONTO,ONTARIO,CANADA,,,missing_coordinates,coordination_check
70142,Vancouver Independent School,VANCOUVER,BRITISH COLUMBIA,CANADA,,,missing_coordinates,coordination_check
94823,Franklin School,VANCOUVER,BRITISH COLUMBIA,CANADA,,,missing_coordinates,coordination_check
96040,JAYA INTERNATIONAL HIGH SCHOOL,MISSISAUGA,ONTARIO,CANADA,,,missing_coordinates,coordination_check
37004,Grace Christian School,CHARLOTTETOWN,PRINCE EDWARD ISLD,CANADA,,,missing_coordinates,coordination_check
94023,Collingwood School-Morven,WEST VANCOUVER,BRITISH COLUMBIA,CANADA,,,missing_coordinates,coordination_check
97205,LOWER CANADA COLL,MONTREAL,QUEBEC,CANADA,,,missing_coordinates,coordination_check
94636,Gateway College,VANCOUVER,BRITISH COLUMBIA,CANADA,,,missing_coordinates,coordination_check
94362,City Vancouver Academy,RICHMOND,BRITISH COLUMBIA,CANADA,,,missing_coordinates,coordination_check
96469,ELTON ACADEMY,RICHMOND HILL,ONTARIO,CANADA,,,missing_coordinates,coordination_check
40521,Lowell High School,VANCOUVER,BRITISH COLUMBIA,CANADA,,,missing_coordinates,coordination_check
96845,Canada Cambridge Academy,MARKHAM,ONTARIO,CANADA,,,missing_coordinates,coordination_check
67857,Saint Lawrence School,VANCOUVER,BRITISH COLUMBIA,CANADA,,,missing_coordinates,coordination_check
73277,Canada Royal Arts High School,VANCOUVER,BRITISH COLUMBIA,CANADA,,,missing_coordinates,coordination_check
94544,Saint Johns Academy,VANCOUVER,BRITISH COLUMBIA,CANADA,,,missing_coordinates,coordination_check
96795,Amberson High School,MARKHAM,ONTARIO,CANADA,,,missing_coordinates,coordination_check
94465,SHAWNIGAN LAKE SCH,SHAWNIGAN LAKE,BRITISH COLUMBIA,CANADA,,,missing_coordinates,coordination_check
96105,PARK VIEW EDUCATION CENTER,BRIDGEWATER,NOVA SCOTIA,CANADA,,,missing_coordinates,coordination_check
96390,LONDON INTERNATIONAL ACADEMY,LONDON,ONTARIO,CANADA,,,missing_coordinates,coordination_check
96150,SuOn Academy,TORONTO,ONTARIO,CANADA,,,missing_coordinates,coordination_check
94473,MULGRAVE SCHOOL,WEST VANCOUVER,BRITISH COLUMBIA,CANADA,,,missing_coordinates,coordination_check
96544,UT Preparatory Academy,NORTH YORK,ONTARIO,CANADA,,,missing_coordinates,coordination_check
94114,EDGE SCHOOL,CALGARY,ALBERTA,CANADA,,,missing_coordinates,coordination_check
